nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;iniciop;potfisc;idemp;lat;long;estag
Cachoeira Paulista;CGH Cachoeira Paulista S.A.;Cachoeira Paulista;SP;Silveiras;SP;Rio Bravo;1000;30/10/2023;10/03/1976;1000;27476;-22,72972222;-44,91527778;Cancelado
Isabel;SZO Empreendimentos Ltda - ME;Pindamonhangaba;SP;;;Rio Sacatrapo;3168;30/10/2023;01/05/1915;3168;1148;-22,7275131;-45,45211587;Operação
Museu da Água;Lar dos Velhinhos de Piracicaba;Piracicaba;SP;;;Rio Piracicaba;386;30/10/2023;01/08/2007;386;29757;-22,71712663;-47,65275227;Operação
Capitão Mor;Usina Capitão Mor Energia Ltda.;Arapeí;SP;;;Rio Capitão Mor;288;30/10/2023;05/12/1961;288;30861;-22,7032375;-44,46364972;Operação
Santa Tereza;Companhia Industrial de Bebidas São Paulo;Amparo;SP;Pedreira;SP;Rio Camanducaia;588;30/10/2023;01/01/1951;588;28330;-22,69770715;-46,9112817;Operação
Funil;;Amparo;SP;;;Camanducaia;900;30/10/2023;0;0;0;-22,6925;-46,85444444;Eixo Disponível
Sodré;Construtora Kamilos Ltda.;Guaratinguetá;SP;;;Rio Piagui;1012;30/10/2023;01/04/2013;1012;31099;-22,66444444;-45,30916667;Operação
Ribeirão do Pinhal;Companhia Energética Salto do Lobo Ltda.;Limeira;SP;Cosmópolis;SP;Ribeirão do Pinhal;1200;30/10/2023;15/07/2003;1200;2238;-22,66029788;-47,27800741;Operação
Ester;Usina Açucareira Ester S.A.;Cosmópolis;SP;;;Ribeirão Pirapitingui;747;30/10/2023;15/01/1901;747;23;-22,65679098;-47,20384721;Cancelado
Marmelos III;Mineração Corrêa Ltda.;Campos do Jordão;SP;;;Rio Sapucaí;360;30/10/2023;20/06/1998;360;28341;-22,63194792;-45,48780925;Operação
Peixe;Ágape Participações Ltda.;Socorro;SP;;;Rio do Peixe;1000;30/10/2023;05/03/2011;1000;30243;-22,60833333;-46,44166667;Operação
Lençóis;Chimay Empreendimentos e Participações Ltda;Macatuba;SP;Igaraçu do Tietê;SP;Rio Lençóis;1680;30/10/2023;01/01/1917;1680;1322;-22,52694444;-48,64861111;Operação
Corumbataí;Cobuccio Energia Ltda.;Rio Claro;SP;;;Rio Corumbataí;1700;30/10/2023;07/08/2008;1700;868;-22,48054828;-47,59218213;Operação
Jacaré Pepira;Água Paulista Geração de Energia Ltda.;Brotas;SP;;;Jacaré Pepira;2000;30/10/2023;26/06/2010;2000;29296;-22,425;-48,02;Operação
Três Saltos;Jayaditya Empreendimentos e Participações Ltda.;Torrinha;SP;;;Rio Pinheiros;640;30/10/2023;01/01/1928;640;2877;-22,37776817;-48,17416667;Operação
